 ,T_ARRAY,T_BIGNUM,T_CLASS,T_COMPLEX,T_DATA,T_FILE,T_FLOAT,T_HASH,T_ICLASS,T_MATCH,T_MODULE,T_NODE,T_OBJECT,T_RATIONAL,T_REGEXP,T_STRING,T_STRUCT,T_ZOMBIE
1,1.484,0.016,3.824,0.008,2.049,0.047,0.039,0.063,0.149,0.000,0.149,72.792,0.047,0.000,0.173,18.861,0.000,0.298
2,1.534,0.013,3.266,0.007,1.983,0.040,0.033,0.073,0.126,0.007,0.132,70.455,0.040,0.000,0.159,22.055,0.000,0.079
3,2.483,0.009,2.610,0.005,2.718,0.033,0.024,0.066,0.113,0.000,0.103,72.117,0.028,0.000,0.198,19.093,0.005,0.395
4,3.346,0.009,2.819,0.005,3.382,0.041,0.023,0.096,0.151,0.000,0.110,67.808,0.059,0.000,0.366,21.396,0.005,0.384
5,3.125,0.007,2.301,0.004,3.136,0.033,0.067,0.089,0.126,0.000,0.093,71.217,0.048,0.000,0.323,19.285,0.022,0.122
6,4.363,0.019,2.408,0.004,4.337,0.019,0.067,0.161,0.146,0.000,0.105,62.095,0.071,0.037,0.632,24.673,0.172,0.692
7,4.156,0.012,1.627,0.002,3.557,0.012,0.045,0.111,0.141,0.000,0.084,55.621,0.267,0.025,0.428,33.172,0.114,0.624
8,4.099,0.011,1.436,0.002,3.159,0.011,0.039,0.101,0.125,0.000,0.074,48.997,0.448,0.022,0.378,40.845,0.101,0.153
9,5.066,0.010,1.468,0.002,4.126,0.016,0.037,0.102,0.132,0.000,0.083,44.726,0.469,0.020,0.390,42.861,0.104,0.388
10,5.148,0.010,1.462,0.002,4.250,0.010,0.044,0.106,0.141,0.000,0.114,45.263,0.438,0.019,0.403,42.081,0.102,0.409
11,5.259,0.009,1.407,0.002,4.437,0.009,0.044,0.117,0.172,0.000,0.161,45.830,0.417,0.018,0.387,41.186,0.097,0.446
12,5.444,0.009,1.406,0.002,4.533,0.009,0.044,0.124,0.189,0.000,0.179,45.732,0.403,0.018,0.509,40.877,0.118,0.405
13,5.456,0.009,1.393,0.002,4.577,0.009,0.043,0.123,0.201,0.000,0.204,46.013,0.395,0.017,0.504,40.560,0.118,0.377
14,5.598,0.008,1.345,0.002,4.721,0.010,0.042,0.127,0.215,0.000,0.211,46.045,0.375,0.016,0.503,40.211,0.116,0.455
15,5.564,0.011,1.349,0.002,5.133,0.006,0.043,0.130,0.209,0.000,0.225,45.951,0.366,0.016,0.510,39.942,0.113,0.430
16,5.566,0.027,1.337,0.001,5.153,0.012,0.040,0.134,0.197,0.001,0.219,47.272,0.341,0.014,0.559,38.701,0.104,0.321
17,5.571,0.025,1.486,0.001,5.187,0.011,0.039,0.146,0.190,0.001,0.216,48.106,0.320,0.013,0.579,37.721,0.103,0.284
18,5.767,0.025,1.513,0.001,5.382,0.008,0.039,0.148,0.193,0.001,0.215,47.484,0.320,0.013,0.594,38.112,0.106,0.078
19,5.606,0.024,1.443,0.001,5.227,0.012,0.040,0.147,0.179,0.001,0.201,49.276,0.297,0.012,0.600,36.800,0.099,0.035
20,5.783,0.024,1.537,0.001,5.408,0.006,0.041,0.157,0.193,0.001,0.217,47.855,0.305,0.013,0.631,37.565,0.102,0.159
21,5.226,0.019,1.204,0.001,4.487,0.005,0.032,0.129,0.151,0.001,0.175,45.270,0.458,0.010,0.511,42.006,0.081,0.233
22,5.315,0.018,1.202,0.001,4.602,0.006,0.030,0.133,0.155,0.001,0.178,46.312,0.435,0.009,0.490,40.913,0.077,0.123
23,5.466,0.017,1.169,0.001,4.803,0.004,0.028,0.133,0.157,0.001,0.177,47.050,0.409,0.009,0.465,39.563,0.073,0.475
24,5.472,0.016,1.154,0.001,4.821,0.006,0.027,0.136,0.161,0.001,0.181,48.251,0.392,0.008,0.465,38.768,0.070,0.070
25,6.022,0.017,1.243,0.001,5.339,0.004,0.029,0.152,0.174,0.001,0.193,44.544,0.420,0.009,0.499,41.088,0.074,0.191
26,5.799,0.015,1.170,0.001,5.218,0.006,0.027,0.150,0.162,0.002,0.182,47.003,0.385,0.008,0.491,39.184,0.068,0.129
27,5.666,0.014,1.107,0.001,5.115,0.008,0.026,0.149,0.156,0.002,0.175,48.556,0.360,0.008,0.485,38.025,0.074,0.073
28,5.919,0.015,1.156,0.001,5.360,0.005,0.027,0.158,0.179,0.002,0.191,46.700,0.375,0.008,0.513,39.245,0.077,0.070
29,5.961,0.015,1.155,0.001,5.402,0.005,0.027,0.159,0.206,0.002,0.198,46.775,0.369,0.008,0.515,39.036,0.079,0.089
30,5.969,0.014,1.144,0.001,5.359,0.005,0.026,0.190,0.212,0.003,0.197,47.482,0.369,0.008,0.508,38.334,0.077,0.101
31,6.072,0.014,1.157,0.001,5.445,0.004,0.028,0.193,0.212,0.001,0.207,46.902,0.379,0.007,0.512,38.712,0.076,0.078
32,6.245,0.014,1.186,0.001,5.615,0.003,0.028,0.197,0.246,0.002,0.225,45.791,0.390,0.008,0.523,39.332,0.077,0.117
33,6.190,0.014,1.163,0.001,5.570,0.004,0.027,0.194,0.244,0.001,0.225,46.662,0.380,0.007,0.522,38.663,0.076,0.054
34,6.272,0.014,1.154,0.001,5.695,0.004,0.026,0.194,0.245,0.001,0.225,46.235,0.471,0.007,0.518,38.706,0.076,0.156
35,6.355,0.013,1.203,0.001,5.782,0.004,0.029,0.202,0.243,0.001,0.228,46.174,0.468,0.007,0.517,38.607,0.076,0.091
36,6.360,0.013,1.200,0.001,5.800,0.004,0.029,0.178,0.244,0.001,0.227,46.197,0.472,0.007,0.515,38.616,0.078,0.058
37,6.432,0.013,1.189,0.001,5.768,0.003,0.028,0.252,0.251,0.001,0.225,46.408,0.529,0.007,0.522,38.107,0.076,0.189
38,6.331,0.012,1.154,0.001,5.859,0.006,0.029,0.252,0.243,0.002,0.222,47.297,0.522,0.007,0.513,37.195,0.074,0.282
39,6.272,0.012,1.356,0.001,5.829,0.006,0.029,0.262,0.246,0.002,0.225,47.481,0.515,0.006,0.504,37.026,0.072,0.156
